ID	DOCULECT	CONCEPT	COGIDS	GLOSSID	IPA	TOKENS	PROTOSTEM	PROTOFORM	COUNTERPART	NOTE
1	Old_Irish	apple	1	1	uvul	u v u l	*abalo-	*abul 	ubull
2	Middle_Welsh	apple	1	1	aual	a u a l	*abalo-	*abul 	aual
3	Old_Breton	apple	1	1	abal	a b a l	*abalo-	*abul 	abal
4	Old_Irish	river	2	2	auv	a u v	*abon-	*abū 	aub
5	Middle_Welsh	river	2	2	avon	a v o n	*abon-	*abū 	afon
6	Middle_Breton	river	2	2	auon	a u o n	*abon-	*abū 	auon
7 	Middle_Cornish	river	2	2	auon	a u o n	*abon-	*abū 	auon
8 	Gaulish	river	2	2	ambe	a m b e	*abon-	*abū 	ambe
9 	Old_Irish	high	3	3	ard	a r d	*ardwo-	*ardwos 	ard
10	Middle_Welsh	hill	3	4	arð	a r ð	*ardwo-	*ardwos	ardd
11	Middle_Breton	elevated	3	5	arz	a r z	*ardwo-	*ardwos	arz
12	Gaulish	high	3	3	ardu	a r d u	*ardwo-	*ardwos 	ardu	Attested in toponym Ardu-enna (Ardennes Forest)
13	Old_Irish	silver	4	6	arɣad	a r ɣ a d	*arganto-	*argantom	argat
14	Old_Welsh	silver	4	6	argant	a r g a n t	*arganto-	*argantom	argant
15	Old_Breton	silver	4	6	argant	a r g a n t	*arganto-	*argantom	argant
16	Middle_Cornish	silver	4	6	argans	a r g a n s	*arganto-	*argantom	argans
17	Gaulish	silver	4	6	arganto	a r g a n t o	*arganto-	*argantom	arganto	Attested in toponym Arganto-Magus
18	Celtiberian	silver	4	6	arkato	a r k a t o	*arganto-	*argantom	arkato	Attested in phrase Arkanto-bezom, interpreted as silver mine
19	Old_Irish	noble	5	7	are	a r e	*aryo-	*aryos	aire
20	Gaulish	noble	5	7	arios	a r i o s	*aryo-	*aryos	arios	Attested in personal names Ariomanus, Ariovistus
21	Old_Irish	strong	6	8	balk	b a l k	*balko-	*balkos	balc
22	Middle_Welsh	strong	6	8	balχ	b a l χ	*balko-	*balkos	balch
23	Old_Irish	peak	7	9	ben	b e n	*bando-	*bandā	benn
24	Middle_Welsh	peak	7	9	ban	b a n	*bando-	*bandā	bann
25	Middle_Breton	peak	7	9	ban	b a n	*bando-	*bandā	ban
26	Gaulish	peak	7	10	benikus	b e n i k u s	*bando-	*bandā	benicus	Attested from toponym Canto-Bennicus
27	Old_Irish	bard	8	11	bard	b a r d	*bardo-	*bardos	bard
28	Middle_Welsh	bard	8	11	barð	b a r ð	*bardo-	*bardos	bardd
29	Middle_Breton	bard	8	11	bars	b a r s	*bardo-	*bardos	barz
30	Old_Cornish	bard	8	11	barθ	b a r θ	*bardo-	*bardos	barth
31	Gaulish	bard	8	11	bardos	b a r d o s	*bardo-	*bardos	bardos
32	Old_Irish	woman	9	12	ben	b e n	*bena-	*benā	ben
33	Old_Welsh	woman	9	12	ben	b e n	*bena-	*benā	ben
34	Middle_Breton	woman	9	12	ben	b e n	*bena-	*benā	ben
35	Old_Cornish	woman	9	12	benen	b e n e n	*bena-	*benā	benen
36	Gaulish	woman	9	12	bnanom	b n a n o m	*bena-	*benā	bnanom
37	Old_Irish	world	10	13	biθ	b i θ	*bitu-	*bitus	bith
38	Old_Welsh	world	10	13	bid	b i d	*bitu-	*bitus	bid
39	Old_Breton	world	10	13	bit	b i t	*bitu-	*bitus	bit
40	Old_Cornish	world	10	13	bit	b i t	*bitu-	*bitus	bit
41	Gaulish	world	10	13	bitu	b i t u	*bitu-	*bitus 	bitus	Attested from ethnonym Bituriges
42	Old_Irish	alive	11	14	bēu	b ē u	*biwo	*biwos	béo
43	Middle_Welsh	alive	11	14	biu	b i u	*biwo	*biwos	byw
44	Middle_Breton	alive	11	14	biu	b i u	*biwo	*biwos	beu
45	Old_Cornish	alive	11	14	biu	b i u	*biwo	*biwos	biu
46	Gaulish	alive	11	15	biu	b i u 	*biwo	*biwos	biu	Only attested as Personal Name Biuonia
47	Old_Irish	year	12	16	blīaðan	b l ī a ð a n	*bleidanī	*bleidanī	blíadain
48	Old_Welsh	year	12	16	bloiðin	b l o i ð i n	*bleidanī	*bleidanī	bloidin
49	Old_Breton	year	12	16	bliðan	b l i ð a n	*bleidanī	*bleidanī	blidan
50	Old_Cornish	year	12	16	bliθen	b l i θ e n	*bleidanī	*bleidanī	bliþen
51	Old_Irish	sack, stomach	13	17	bolg	b o l g	*bolgo-	*bolgos	bolg
52	Middle_Welsh	sack, stomach	13	17	bol	b o l	*bolgo-	*bolgos	bol
53	Middle_Breton	sack, stomach	13	17	bolχ	b o l χ	*bolgo-	*bolgos	bolc'h
54	Gaulish	sack, stomach	13	17	bolgas	b o l g a s	*bolgo-	*bolgos	bulgas
55	Old_Irish	cow	14	18	bo	b o	*bow-	*baus	bó
56	Old_Welsh	cow	14	18	bu	b u	*bow-	*baus	bu
57	Middle_Breton	cow	14	19	bo	b o 	*bow-	*baus 	bou	From bou-tig "stable" or literally "cow house"
58	Gaulish	cow	14	20	bo	b o	*bow-	*baus 	bo	From Personal Name Bo-marus
59	Celtiberian	cow	14	19	bo	b o	*bow-	*baus 	bou	From bou-stom "stable"
60	Old_Irish	brother	15	21	brāθir	b r ā θ i r	*brātīr	*brātīr	bráthair
61	Middle_Welsh	brother	15	21	braud	b r a u d	*brātīr	*brātīr	brawt
62	Old_Breton	brother	15	21	brotr	b r o t r	*brātīr	*brātīr 	brotr
63	Gaulish	brother (name)	15	22	bratr	b r a t r 	*brātīr	*brātīr 	bratr	Only attested as Personal Name Bratronos
64	Old_Irish	judgement	16	23	brāθ	b r ā θ	*brātu-	*brātus	bráth
65	Old_Welsh	judgement	16	23	braut	b r a u t	*brātu-	*brātus	braut
66	Middle_Breton	debate	16	24	breut	b r e u t	*brātu- 	*brātus	breut
67	Middle_Cornish	judgement	16	23	bres	b r e s	*brātu-	*brātus	bres
68	Gaulish	judgment	16	25	brat	b r a t 	*brātu-	*brātus 	brat-	Only attested in dedication Bratou dekantem
69	Old_Irish	assembly	17	26	dāl	d ā l	*datla-	*datlā	dál
70	Middle_Welsh	assembly	17	26	dadl	d a d l	*datla-	*datlā	dadl
71	Old_Breton	assembly	17	26	dadl	d a d l	*datla-	*datlā	dadl
72	Old_Irish	God	18	27	dīa	d ī a	*deiw-	*deiwos	día
73	Old_Welsh	God	18	27	diui	d i u i	*deiw-	*deiwos	duiu
74	Middle_Breton	God	18	27	doe	d o e	*deiw-	*deiwos	doe
75	Old_Cornish	God	18	27	dui	d u i	*deiw-	*deiwos	duy
76	Gaulish	God	18	27	deuo	d e u o	*deiw-	*deiwos 	deuo	Only attested in Deity name Deuognata
77	Celtiberian	God	18	27	teiuo	t e i u o	*deiw-	*deiwos 	teiuo	Only attested in Deity name Teiuoreikis
78	Old_Irish	bad	19	28	drox	d r o x	*druko-	*drukos	droch
79	Middle_Welsh	bad	19	28	drug	d r u g	*druko-	*drukos	drwg
80	Middle_Breton	bad	19	28	druk	d r u k	*druko-	*drukos	drouk
81	Gaulish	bad	19	28	druk	d r u k	*druko-	*drukos 	druca	Only attested in Proper Noun druka
82	Old_Irish	fort	20	29	dūn	d ū n	*dūno-	*dūnom	dún
83	Middle_Welsh	fort	20	29	din	d i n	*dūno-	*dūnom	din
84	Old_Breton	fort	20	29	din	d i n	*dūno-	*dūnom	din
85	Middle_Cornish	fort	20	29	din	d i n	*dūno-	*dūnom	dyn
86	Gaulish	fort	20	29	dunum	d u n u m	*dūno-	*dūnom	dunum
87	Old_Irish	horse	21	30	ex	e x	*ekʷo-	*ekʷos	ech
