ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	HISTORY	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
510	ɑ d ə r	*nēdrōn	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch					adder	*nēdrōn	1
509	æ d ə	*nēdrōn	æ d ə r ( - - )	ædə	adder	139	English					adder	*nēdrōn	1
1933	n ǣ d r e	*nēdrōn	æ d ə r ( - - )	ædə	nǣdre	139	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			adder	*nēdrōn	1
508	ɔ t ə r	*nēdrōn	ɔ t ə r ( - - )	ɔtər	Otter	139	German					adder	*nēdrōn	1
1431	b ɑ k ə	*bákaną	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch					bake	*bákaną	2
1430	b eɪ k	*bákaną	b eɪ k - - ( - - )	beɪk	bake	391	English					bake	*bákaną	2
1934	b a c a n	*bákaną	b eɪ k - - ( - - )	beɪk	bacan	391	Old_English	Proto encoding: -aną (full vowel) for A-restoration; R/T §6.3.1	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bake	*bákaną	2
1429	b a k ə n	*bákaną	b a k ə n ( - - )	bakən	backen	391	German	BOR		C V c v c		bake	*bákaną	2
314	b ɑ l	*bálluz	b ɑ l ( - - )	bɑl	bal	87	Dutch					ball	*bálluz	3
313	b ɔː l	*bálluz	b ɔː l ( - - )	bɔːl	ball	87	English					ball	*bálluz	3
1935	* b e a l l	*bálluz	b ɔː l ( - - )	bɔːl	-	87	Old_English	Unattested OE; reconstructed *beall.	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			ball	*bálluz	3
312	b a l	*bálluz	b a l ( - - )	bal	Ball	87	German			C V C		ball	*bálluz	3
521	b ɑ n	*bánną	b ɑ n ( - - )	bɑn	ban	142	Dutch					ban	*bánną	4
520	b æ n	*bánną	b æ n ( - - )	bæn	ban	142	English					ban	*bánną	4
1936	b a n n e s	*bánnas	b æ n ( - - ) e s	bænes	bannes	142	Old_English	Gen.sg. paradigm cell: *bannas → bannes. Word-final geminates are phonologically simplified; using gen.sg. preserves medial geminate. Note: a-stem neuter, gen.sg. same as masc.	Original: *banną → bann (nom.sg.).			ban	*bánną	4
519	b a n	*bánną	b a n ( - - )	ban	Bann	142	German			C V C		ban	*bánną	4
221	b ɛ r x	*bérgą	b ɛ r x ( - - )	bɛrx	berg	61	Dutch					barrow	*bérgą	5
220	b æ r əʊ	*bérgą	b æ r əʊ ( - - )	bærəʊ	barrow	61	English					barrow	*bérgą	5
1937	b e o r g	*bérgą	b æ r əʊ ( - - )	bærəʊ	beorg	61	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			barrow	*bérgą	5
219	b ɛ r k	*bérgą	b ɛ r k ( - - )	bɛrk	Berg	61	German					barrow	*bérgą	5
1634	b ɑ s t	*bástą	b ɑ s t ( - - )	bɑst	bast	448	Dutch					bast	*bástą	6
1633	b æ s t	*bástą	b æ s t ( - - )	bæst	bast	448	English					bast	*bástą	6
1938	b æ s t	*bástą	b æ s t ( - - )	bæst	bæst	448	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bast	*bástą	6
1632	b a s t	*bástą	b a s t ( - - )	bast	Bast	448	German			C V C C		bast	*bástą	6
1313	b ɑ t	*báθą	b ɑ t ( - - )	bɑt	bad	360	Dutch					bath	*báθą	7
1312	b ɑː θ	*báθą	b ɑː θ ( - - )	bɑːθ	bath	360	English					bath	*báθą	7
1939	b æ þ	*báθą	b ɑː θ ( - - )	bɑːθ	bæþ	360	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bath	*báθą	7
1311	b aː d	*báθą	b aː d ( - - )	baːt	Bad	360	German					bath	*báθą	7
1177	b aː r t	*bárdaz	b aː r t ( - - )	baːrt	baard	322	Dutch					beard	*bárdaz	8
1176	b ɪə d	*bárdaz	b ɪə - d ( - - )	bɪəd	beard	322	English					beard	*bárdaz	8
1940	b e a r d	*bárdaz	b ɪə - d ( - - )	bɪəd	beard	322	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beard	*bárdaz	8
1175	b aː r t	*bárdaz	b aː r t ( - - )	baːrt	Bart	322	German			C V C C		beard	*bárdaz	8
1854	b eː v ə r	*bébruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch					beaver	*bébruz	9
1853	b iː v ə	*bébruz	b iː v ə r ( - - )	biːvə	beaver	508	English					beaver	*bébruz	9
1941	b e f e r	*bébruz	b iː v ə r ( - - )	biːvə	befer	508	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beaver	*bébruz	9
1852	b iː b ə r	*bébruz	b iː b ə r ( - - )	biːbər	Biber	508	German					beaver	*bébruz	9
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch					beech	*bōkō	10
1864	b iː ʧ	*bōkō	b iː ʧ ( - - - - )	biːʧ	beech	511	English					beech	*bōkō	10
1942	b ō c	*bōkō	b iː ʧ ( - - - - )	biːʧ	bōc	511	Old_English	Kroonen *bōk(j)ō- f. > OE bōc (nom.sg.); bēċe is oblique form				beech	*bōkō	10
1863	b uː x ə	*bōkō	b uː x ( ə - - - )	buːxə	Buche	511	German					beech	*bōkō	10
1154	b ə ɣ ɪ n ə	*bigínnaną	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch					begin	*bigínnaną	11
1153	b ɪ ɡ ɪ n	*bigínnaną	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	begin	316	English					begin	*bigínnaną	11
1943	b e ġ i n n a n	*bigínnaną	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	beġinnan	316	Old_English	Palatalization of *g between *i and *i is regular per R/T §6.4.1 Rule 1. OE beġinnan confirmed (Wiktionary, BT).				begin	*bigínnaną	11
1152	b ə ɡ ɪ n ə n	*bigínnaną	( b ə ) ɡ ɪ n ə n ( - - )	bəɡɪnən	beginnen	316	German					begin	*bigínnaną	11
266	x ə l oː v ə	*galáubijaną	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch	Proto: *laubjăną → *galaubijăną (ga- prefix set: Du. geloven, G glauben, OE ġelīefan)				believe	*galáubijaną	12
265				bɪliːv		73	English	Out-of-set: ME believe < OE belīefan (be- prefixed *bilaubijan), distinct from ge-/ga- formation				believe	*galáubijaną	12
