language	variety	form	display	sort_key	form_role	source_scope	source_ref	occurrence_id	origin	status
oe		ærende	ærende	aerende	comparison_form	override	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:47	override:715f73f874c689	override	override
oe		ærende	ærende	aerende	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:49	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:49:1	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md	auto
oe		ærende	ærende	aerende	comparison_form	override	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:50	override:992fc00b17d360	override	override
oe		āsceaf	āsceaf	asceaf	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md:32	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md:32:2	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md	auto
oe		bā	bā	ba	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22:2	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bā	bā	ba	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:37	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:37:2	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bā	bā	ba	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:68	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:68:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	auto
oe		bacan	bacan	bacan	target_form	lexical_heading	bake — OE bacan	heading:8dee27cedce6ef	manifest	auto
oe		bǣm	bǣm	baem	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:40	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:40:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		bær	bær	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21:3	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bær	bær	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bær	bær	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:1	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bǣr	bǣr	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:3	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bǣr	bǣr	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:3	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bǣr	bǣr	baer	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:33	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:33:2	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bǣr	bǣr	baer	target_form	lexical_heading	bier — OE bǣr	heading:f3a7f08bc28ac3	manifest	auto
oe		ban	ban	ban	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	auto
oe		ban	ban	ban	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52:2	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	auto
