proto_form,concept,note
*bastan,bast,noun – retain -an
*bazjan,berry,noun – retain -an
*baθan,bath,noun – retain -an
*bergan,barrow,noun – retain -an
*blōdan,blood,noun – retain -an
*braudan,bread,noun – retain -an
*burdan,board,noun – retain -an
*būran,bower,noun – retain -an
*deuzan,deer,noun – retain -an
*drankan,drench,noun – retain -an
*duran,door,noun – retain -an
*fellan,fell,noun – retain -an
*flaxsan,flax,noun – retain -an
*frustan,frost,noun – retain -an
*fulkan,folk,noun – retain -an
*fōdran,fodder,noun – retain -an
*gallan,gall,noun – retain -an
*grasan,grass,noun – retain -an
*gulθan,gold,noun – retain -an
*jukan,yoke,noun – retain -an
*jēran,year,noun – retain -an
*knewan,knee,noun – retain -an
*landan,land,noun – retain -an
*lauban,leaf,noun – retain -an
*leθran,leather,noun – retain -an
*lukan,lock,noun – retain -an
*lungwan,lung,noun – retain -an
*līban,life,noun – retain -an
*līman,lime,noun – retain -an
*mēlan,meal,noun – retain -an
*natjan,net,noun – retain -an
*nistan,nest,noun – retain -an
*raipan,rope,noun – retain -an
*rūman,room,noun – retain -an
*saltan,salt,noun – retain -an
*seglan,sail,noun – retain -an
*skaftan,shaft,noun – retain -an
*skēpan,sheep,noun – retain -an
*slīman,slime,noun – retain -an
*spuran,spur,noun – retain -an
*strawan,straw,noun – retain -an
*stōdan,stud,noun – retain -an
*swerdan,sword,noun – retain -an
*temran,timber,noun – retain -an
*trugan,trough,noun – retain -an
*warpan,warp,noun – retain -an
*waxsan,wax,noun – retain -an
*wedran,weather,noun – retain -an
*wundran,wonder,noun – retain -an
*wurdan,word,noun – retain -an
*wīban,wife,noun – retain -an
*xaglan,hail,noun – retain -an
*xaubudan,head,noun – retain -an
*xawwjan,hay,noun – retain -an
*xunagan,honey,noun – retain -an
*xuzdan,hoard,noun – retain -an
*θakan,thatch,noun – retain -an
*wīθijăz,withy,ja-stem heavy monosyllable: expected *wīþe not wīþig per Adamczyk 2001; FST correct but no proto yields attested form
