position	foma_identifier	origin_block
1	PNWGmcUnstressedAiMonophthongization	EarlyEnglishLineChanges
2	PNWGmcAToUBeforeM	EarlyEnglishLineChanges
3	PWGmcEarlyIApocope	EarlyEnglishLineChanges
4	PWGmcFinalOrLowering	EarlyEnglishLineChanges
5	PWGmcCoronalWAssimilation	EarlyEnglishLineChanges
6	PWGmcIjContraction	EarlyEnglishLineChanges
7	PWGmcJGemination	EarlyEnglishLineChanges
8	PWGmcSyllabicJ	EarlyEnglishLineChanges
9	EAFLThVoicing	EarlyEnglishLineChanges
10	PWGmcDentalHardening	EarlyEnglishLineChanges
11	PNWGmcILowering	EnglishProtoToOE
12	OEWsPalatalGlide	EnglishProtoToOE
13	PNWGmcULowering	EnglishProtoToOE
14	PNWGmcStressedMonosyllableORaising	EnglishProtoToOE
15	PNWGmcFinalLongORaising	EnglishProtoToOE
16	EAFFinalZDeletion	EnglishProtoToOE
17	PNWGmcUnstressedORaising	EnglishProtoToOE
18	PNWGmcMnDissimilation	EnglishProtoToOE
19	PNWGmcNStemNLoss	EnglishProtoToOE
20	PNWGmcLongELowering	EnglishProtoToOE
21	PNWGmcLongENasalRounding	EnglishProtoToOE
22	EAFNasalSpirantLengthening	EnglishProtoToOE
23	EAFNasalSpirantLoss	EnglishProtoToOE
24	PNWGmcPreconsonantalXLoss	EnglishProtoToOE
25	EAFAiMonophthongization	EnglishProtoToOE
26	OEAwjGlideFormation	EnglishProtoToOE
27	OEAuFronting	EnglishProtoToOE
28	OEWWSimplification	EnglishProtoToOE
29	OEDiphthongLeveling	EnglishProtoToOE
30	OEEwLongDiphthong	EnglishProtoToOE
31	OEAwLongDiphthong	EnglishProtoToOE
32	OEPrefixAReduction	EnglishProtoToOE
33	OEInterStressRaising	EnglishProtoToOE
34	OECompoundLinkingSyncope	EnglishProtoToOE
35	OEStripSecondaryStress	EnglishProtoToOE
36	OEWICombinativeUUmlaut	EnglishProtoToOE
37	OEMedUnstressedULowering	EnglishProtoToOE
38	PWGmcFinalBareALoss	EnglishProtoToOE
39	PWGmcSurvivingBimoricOUnrounding	EnglishProtoToOE
40	EAFBrightening	EnglishProtoToOE
41	OEBreaking	EnglishProtoToOE
42	OEVelarFricativePalatalization	EnglishProtoToOE
43	OEARestoration	EnglishProtoToOE
44	OEHeavySyllableNasalApocope	EnglishProtoToOE
45	OESecondaryNasalization	EnglishProtoToOE
46	PGmcBAllophony	EnglishProtoToOE
47	SieversLawSyncope	EnglishProtoToOE
48	OESkPalatalization	EnglishProtoToOE
49	OEVelarPalatalization	EnglishProtoToOE
50	OEPostVelarWLoss	EnglishProtoToOE
51	OEWLossBeforeI	EnglishProtoToOE
52	OEIUmlaut	EnglishProtoToOE
53	OEWsPalatalDiphthongization	EnglishProtoToOE
54	OEJClusterCoalescence	EnglishProtoToOE
55	OENasalDissimilation	EnglishProtoToOE
56	OEBackMutation	EnglishProtoToOE
57	OEWsPalatalUmlaut	EnglishProtoToOE
58	OEWeakTailNasalLoss	EnglishProtoToOE
59	OEWeightMarkers	EnglishProtoToOE
60	OEHighVowelApocope	EnglishProtoToOE
61	NWGmcInStemNLoss	EnglishProtoToOE
62	OEMedialSyncope	EnglishProtoToOE
63	OELAdjacentSyncope	EnglishProtoToOE
64	OEDentalAssimilation	EnglishProtoToOE
65	OEPreconsonantalDegemination	EnglishProtoToOE
66	OEEarlyOShortening	EnglishProtoToOE
67	OEUnstressedFrontingEarly	EnglishProtoToOE
68	OELateOShortening	EnglishProtoToOE
69	OEUnstressedLongVowelShortening	EnglishProtoToOE
70	OEUnstressedAEMerger	EnglishProtoToOE
71	OEMedUnstressedILowering1	EnglishProtoToOE
72	OEMedUnstressedILowering	EnglishProtoToOE
73	OEPrefixIReduction	EnglishProtoToOE
74	OEWeakTailReduction	EnglishProtoToOE
75	OEJLossAfterHeavy	EnglishProtoToOE
76	OEFinalGeminateSimplification	EnglishProtoToOE
77	OEJStrengtheningAfterFrontDiphthong	EnglishProtoToOE
78	OEIntervocalicJVocalization	EnglishProtoToOE
79	OEUnstressedEIContraction	EnglishProtoToOE
80	OEWeightCleanup	EnglishProtoToOE
81	OEHLoss	EnglishProtoToOE
82	OEContraction	EnglishProtoToOE
83	OERMetathesis	EnglishProtoToOE
