artifact	value_or_sha256	source
sc014_definition	{*ai} -> {*ē}	SC014 PNWGmcUnstressedAiMonophthongization production Foma body
sc004_definition	{*ái} -> {*ā}	SC004 EAFAiMonophthongization production Foma body
sc014_executable_position	1	cascade_order_manifest position
sc004_executable_position	25	cascade_order_manifest position
sc014_later_boundary	first_break_found SC072 order 69 (meed; span)	summaries/sc004corr_first_break_sc014.tsv
sc014_earlier_boundary	no_break_before_boundary	summaries/sc004corr_first_break_sc014.tsv
sc004_later_boundary	first_break_found SC036 order 33 (soul)	summaries/sc004corr_first_break_sc004.tsv
sc004_earlier_boundary	no_break_before_boundary	summaries/sc004corr_first_break_sc004.tsv
sc036_earlier_boundary	first_break_found SC004 order 28 (soul)	summaries/sc004corr_first_break_sc036.tsv
sc004_corpus_applications	24 (23 attested + roe)	sc004_component_application_report.tsv
sc014_corpus_applications	2 (span, meed)	sc004_component_application_report.tsv
protoform_application_inventory	850f61f9bb9f9fbcf2f9f6b893ff6cb81bcdcf075f02f7007f4307b6d41956f5	Germanic/docs/sound_changes/order_tests/sc004_component_application_report.tsv
component_behaviors_probes	a75f97c7925124db4b54f8c51febb229773452b09881a9f60219da9b0bdff131	Germanic/docs/sound_changes/order_tests/sc004_component_behaviors.tsv
interaction_classifications	369dfe3f60a9e1181da21e21ac6e7328adc92b91a2031aebf974c2f2937f1150	Germanic/docs/sound_changes/order_tests/sc004_sc014_interaction_analysis.tsv
first_break_sc014	836fab814230d484f67aca2649c9ab4efc5c574e65cc0dc68d33c7adfdc3d3eb	Germanic/docs/sound_changes/order_tests/summaries/sc004corr_first_break_sc014.tsv
first_break_sc004	e92a504f01e1c51866e65a42f573d29ef1f7f3bebd10e41f330c1a96de7735eb	Germanic/docs/sound_changes/order_tests/summaries/sc004corr_first_break_sc004.tsv
first_break_sc036	b218ff60d3997d97ab06c6279824ff0d05aced2854d552ada6c005e28b16232f	Germanic/docs/sound_changes/order_tests/summaries/sc004corr_first_break_sc036.tsv
cascade_order_manifest	248863906feca74c4f7ac4e29c1fecdb52480695065e91dfedd9343fb07c86b0	Germanic/docs/sound_changes/cascade_baseline/cascade_order_manifest.tsv
interaction_matrix	60d877bf5132161218874b96c0d9b406b627629a9814a5b21ec3c7ede347b854	Germanic/docs/sound_changes/cascade_baseline/cascade_interaction_matrix.tsv
full_trace	5d5ad91d8716a814c997c2bb2adcc2a869841865288c8503ff558a6833e29507	Germanic/docs/debug_snapshots/oe_full_trace_report.txt
compact_trace	eb7d23e0bf024459cf26da383bdf81bdbd07b909635395534ed0ba92f2aaf7d4	Germanic/docs/debug_snapshots/oe_derivation_class_trace_report.compact.md
mismatch_report	03ff1ad1e7e0eb8851baa6055f09218c2397eb42e7ca4b7fe8acaa2587fbcd4b	Germanic/docs/debug_snapshots/oe_mismatch_report.txt
index_verborum_emissions	1852a69d3361a5ccd9b86be9106515bb01c0621a7687b9cc60a6544723b3d8ee	Germanic/docs/book/index_verborum_book_emissions.tsv
reader_headings_and_anchors	b09d878f6c2d37afeb936e567a82425c3923562b5326b7465371e980ab430784	sorted SC004/SC014 reader headings + anchors
lexical_outputs_sha256	aaf19ba919cafbe86ea59d482ce74d0944f541336e246da481a3f37b20da480e	immutable frozen lexical-output baseline (must not change)
