bake | *bakăną | exp bacan | afb *b*æ*k*ă*n*ą | ar *b*a*k*ă*n*ą
ban | *banną | exp bannan | afb *b*æ*n*n*ą | ar *b*a*n*n*ą
brand | *brandăz | exp brand | afb *b*r*æ*n*d | ar *b*r*a*n*d
comb | *kambăz | exp camb | afb *k*æ*m*b | ar *k*a*m*b
flask | *flaskō | exp flasce | afb *f*l*æ*s*k*ō | ar *f*l*a*s*k*ō
gang | *gangăz | exp gangan | afb *g*æ*n*g | ar *g*a*n*g
goose | *gansz | exp gōs | afb *g*æ*n*s | ar *g*a*n*s
guest | *gastiz | exp appear | afb *g*æ*s*t*i | ar *g*a*s*t*i
hammer | *xamarăz | exp hamor | afb *x*æ*m*æ*r | ar *x*a*m*a*r
hand | *xanduz | exp hand | afb *x*æ*n*d*u | ar *x*a*n*d*u
handle | *xandlōjăną | exp handle | afb *x*æ*n*d*l*ō*j*ă*n*ą | ar *x*a*n*d*l*ō*j*ă*n*ą
have | *xabēną | exp habban | afb *x*æ*b*ē*n*ą | ar *x*a*b*ē*n*ą
haw | *xagōn | exp haga | afb *x*æ*g*ō*n | ar *x*a*g*ō*n
lade | *laθōjăną | exp hladan | afb *l*æ*θ*ō*j*ă*n*ą | ar *l*a*θ*ō*j*ă*n*ą
land | *landą | exp land | afb *l*æ*n*d*ą | ar *l*a*n*d*ą
make | *makōjăną | exp macian | afb *m*æ*k*ō*j*ă*n*ą | ar *m*a*k*ō*j*ă*n*ą
man | *marīn | exp mann | afb *m*æ*r*ī*n | ar *m*a*r*ī*n
name | *namōn | exp nama | afb *n*æ*m*ō*n | ar *n*a*m*ō*n
nave | *nabō | exp nafu | afb *n*æ*b*ō | ar *n*a*b*ō
navel | *nablōn | exp nafola | afb *n*æ*b*l*ō*n | ar *n*a*b*l*ō*n
nose | *nasō | exp nosu | afb *n*æ*s*ō | ar *n*a*s*ō
sake | *sakō | exp sacu | afb *s*æ*k*ō | ar *s*a*k*ō
shame | *skamō | exp sċamu | afb *s*k*æ*m*ō | ar *s*k*a*m*ō
span | *spannăną | exp spann | afb *s*p*æ*n*n*ă*n*ą | ar *s*p*a*n*n*ă*n*ą
span | *spannō | exp spann | afb *s*p*æ*n*n*ō | ar *s*p*a*n*n*ō
swan | *swanăz | exp swan | afb *s*w*æ*n | ar *s*w*a*n
thanks | *θankăz | exp þancas | afb *θ*æ*n*k | ar *θ*a*n*k
tongs | *tangō | exp tange | afb *t*æ*n*g*ō | ar *t*a*n*g*ō
wade | *wadăną | exp wadan | afb *w*æ*d*ă*n*ą | ar *w*a*d*ă*n*ą
wake | *wakēną | exp wacan | afb *w*æ*ʧ*ē*n*ą | ar *w*a*ʧ*ē*n*ą
wash | *waskăną | exp wasċan | afb *w*æ*s*k*ă*n*ą | ar *w*a*s*k*ă*n*ą
