OE -ana outputs from PGmc→OE stage (english_after_proto_to_oe.bin)
Count: 87

concept	proto	stage_output	attested
bake	*bakăną	bakana	bacan
begin	*gennăną	gennana	beginnan
believe	*laubjăną	lōvana	belīefan
bid	*beudăną	beudana	-
bid	*bidjăną	bindana	-
bind	*bendăną	bendana	bindan
bore	*burōjăną	burējana	borian
bow	*baugjăną	bōdʒana	boga
bow	*beugăną	beugana	boga
break	*brekăną	brekana	brecan
breeches	*brekăną	brekana	brēċ
bring	*brengăną	brengana	bringan
brook	*brūkăną	brūkana	brūcan
burst	*brestăną	brestana	berstan
chew	*kewwăną	keʋʋana	ċēowan
climb	*klembăną	klembana	climban
drink	*drenkăną	drenkana	drincan
drive	*drībăną	drībana	drīfan
eat	*etăną	etana	etan
fall	*fallăną	fallana	feallan
fare	*farăną	farana	fær
fight	*fextăną	fextana	feohtan
find	*fenθăną	fēθana	findan
flee	*fleuxăną	fleuxana	flēon
fly	*fleugăną	fleugana	flȳġe
fold	*falθăną	falθana	fealdan
forlorn	*leusăną	leusana	forloren
freeze	*freusăną	freusana	frēosan
give	*gebăną	gebana	giefan
grave	*grabăną	grabana	græf
gripe	*grīpăną	grīpana	grīpan
handle	*xandlōjăną	xandlējana	handle
heal	*xailjăną	xāljana	hǣlan
help	*xelpăną	xelpana	help
hew	*xawwăną	xaʋʋana	hēawan
hold	*xaldăną	xaldana	hold
knead	*knedăną	Knedana	cnedan
lade	*laθōjăną	laθējana	hladan
last	*laistjăną	lāstjana	lǣstan
laugh	*lakăną	lakana	hlæhhan
lead	*laidjăną	lāndana	lēad
learn	*liznōjăną	liznējana	leornian
let	*lētăną	lētana	lǣtan
lick	*likkōjăną	likkējana	liccian
light	*leuxtjăną	leuxtjana	lēoht
make	*makōjăną	makējana	macian
mean	*mainjăną	mānjana	mǣnan
read	*rēdăną	rēdana	rǣdan
ride	*rīdăną	rīdana	rīdan
run	*rennăną	rennana	rinnan
seek	*sōkjăną	sōtʃana	sēċan
send	*sandjăną	sanndana	sendan
set	*satjăną	satjana	settan
shear	*skerăną	skerana	sċieran
shine	*skīnăną	skīnana	sċīnan
shove	*skeubăną	skeubana	sċūfan
show	*skawōjăną	skaʋējana	scēawian
sing	*sengwăną	sengʋana	singan
singe	*sangjăną	sandʒana	senġan
sit	*setjăną	setjana	sittan
slay	*slaxăną	slaxana	slēan
sleep	*slēpăną	slēpana	slǣp
span	*spannăną	spannana	spann
spin	*spennăną	spennana	spinnan
spread	*spraidjăną	sprāndana	sprǣdan
starve	*sterbăną	sterbana	steorfan
steal	*stelăną	stelana	viedä
still	*stelljăną	stelljana	stille
stretch	*strakkjăną	straktʃana	streċċan
strew	*strawjăną	straʋjana	strewian
sunder	*sundrōjăną	sundrējana	sundor-
sup	*sūpăną	sūpana	sūpan
swan	*swanăz	sʋana	swan
swell	*swellăną	sʋellana	swellan
swim	*swemmăną	sʋemmana	swimman
thrash	*θreskăną	θreskana	þrescan
tread	*tredăną	tredana	tredan
wade	*wadăną	ʋadana	wadan
warp	*werpăną	ʋerpana	wearp
wash	*waskăną	ʋaskana	wascan
wax	*waxsăną	ʋaxsana	weax
weave	*webăną	ʋebana	wefan
whine	*wainōjăną	ʋānējana	hwīnan
wield	*waldăną	ʋaldana	wealdan
will	*waljăną	ʋaljana	willan
wind	*wendăną	ʋendana	wind
wring	*wrengăną	ʋrengana	wringan
